; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014160,"CurrentTimeLocal","Fri Jun  9 15:16:00 2017","Hostname","c02n15"
; "Time_ContextCreate [ms]", 0.000206
; "Time_ContextDestroy [ms]", 5.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,4,3,"Success",0.000389,0.001864,0.000805,0.000194,0.000291,0.000268,7.7e-05,0.00093,0.005143,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,5,3,"Success",0.000332,0.001717,0.000816,0.000202,0.000297,0.000264,7.7e-05,0.000899,0.004929,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,6,3,"Success",0.000494,0.002476,0.000812,0.000202,0.000333,0.000335,7.4e-05,0.000871,0.00592,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,7,3,"Success",0.000385,0.001724,0.000817,0.000195,0.000287,0.000272,7.4e-05,0.000918,0.004994,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,8,3,"Success",0.000334,0.001697,0.000854,0.000199,0.000294,0.00027,7.8e-05,0.000892,0.004942,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,9,3,"Success",0.000364,0.001686,0.000832,0.00019,0.000291,0.000269,7.7e-05,0.00089,0.004922,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,10,3,"Success",0.000336,0.001685,0.000827,0.000197,0.000286,0.000268,7.5e-05,0.00092,0.004908,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,11,3,"Success",0.000335,0.001667,0.000832,0.000201,0.00029,0.000262,7.3e-05,0.000893,0.004875,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,0,4,"Warmup",0.000628,0.006065,0.002586,0.000356,0.518074,0.00671,0.000355,0.004202,0.539406,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,1,4,"Warmup",0.000609,0.007402,0.002538,0.000282,0.00776,0.005782,0.000331,0.003679,0.028765,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,2,4,"Success",0.000646,0.005482,0.002507,0.00022,0.006986,0.005687,0.000387,0.004103,0.026361,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,3,4,"Success",0.00059,0.005099,0.002621,0.000233,0.007329,0.005261,0.000296,0.003815,0.025573,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,4,4,"Success",0.000615,0.005419,0.002584,0.000218,0.006835,0.005954,0.000355,0.003831,0.026137,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,5,4,"Success",0.000486,0.004591,0.002574,0.00023,0.007081,0.005733,0.000338,0.003648,0.02501,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,6,4,"Success",0.000447,0.004635,0.002571,0.000221,0.006539,0.005648,0.000339,0.004243,0.024966,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,7,4,"Success",0.000589,0.005244,0.002562,0.000219,0.006875,0.006367,0.000283,0.004687,0.027149,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,8,4,"Success",0.000492,0.0048,0.002712,0.000215,0.006721,0.006168,0.000291,0.003745,0.02546,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,9,4,"Success",0.0005,0.004671,0.002552,0.000216,0.006526,0.00544,0.000339,0.004222,0.024789,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,10,4,"Success",0.000597,0.005064,0.002568,0.000216,0.00721,0.006523,0.000345,0.004209,0.027058,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,11,4,"Success",0.000592,0.005195,0.002561,0.000222,0.007552,0.00561,0.000284,0.004257,0.026591,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,0,5,"Warmup",0.000653,0.006606,0.002786,0.00039,0.20034,0.020038,0.00056,0.005322,0.23714,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,1,5,"Warmup",0.000635,0.006325,0.002209,0.00042,0.022532,0.020045,0.000493,0.004919,0.057964,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,2,5,"Success",0.000595,0.005572,0.002355,0.000441,0.023459,0.019638,0.000476,0.005895,0.058794,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,3,5,"Success",0.000614,0.005804,0.002422,0.000377,0.023882,0.018763,0.000421,0.004315,0.056956,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,4,5,"Success",0.000598,0.005305,0.002221,0.000413,0.024063,0.019917,0.000365,0.005183,0.058403,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,5,5,"Success",0.000595,0.005228,0.002302,0.000341,0.022792,0.021077,0.000458,0.005376,0.058485,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,6,5,"Success",0.000611,0.005252,0.002335,0.000369,0.023034,0.019217,0.000517,0.005254,0.056916,2048,0,2048
